epoch,loss,val_loss
0,3.601931632556641,1.6893181999524434
1,2.066597185198112,1.340123420669919
2,1.7108539092592185,1.0720134008498419
3,1.549321678992664,1.133937920842852
4,1.4268648998300457,1.0478721459706624
5,1.3566747586136203,1.017675289085933
6,1.3064431514232406,1.0373916569210233
7,1.2514146703874218,0.9776674310366312
8,1.2343509713808696,0.9393796267963591
9,1.2012297438743138,0.8952888051668803
10,1.1735590869120835,1.045019799754733
11,1.1556920908473955,0.9205421890531268
12,1.1282934754099079,1.0253241601444425
13,1.1233454769320794,0.9420760188783918
14,1.1152945965783847,0.9465997815132141
15,1.1107562690389874,0.9112352955909002
16,1.0812972301725599,0.8947373770532154
17,1.0765954994918243,0.8399803297860282
18,1.0677941136746671,0.9176602221670604
19,1.0580263190081884,1.016843625477382
